db_identifier,file_ext,file_name,file_dir,file_path
b783de7409053e17d72612f272a4d544,.accdb,DEC Harrietstown (6-12).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Harrietstown (6-12).accdb
88785344abe7453c911612098b2ea863,.accdb,DEC Howland Island.accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Howland Island.accdb
f75c7831813078956783764620b78aca,.accdb,DEC Lake George Beach (08-13).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Lake George Beach (08-13).accdb
9ce4ce36e79defbca52805bd994dd6d7,.accdb,DEC Lake George Beach Float Catalog (08-13).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Lake George Beach Float Catalog (08-13).accdb
d3bd877a4859bce00c97dfd881383bfd,.accdb,DEC Lake George Burial (05-10).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Lake George Burial (05-10).accdb
38a09b28d5093a5eef761ec7950152d2,.accdb,DEC Lake George Park Commission (12-2017).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Lake George Park Commission (12-2017).accdb
c777cc181a73035b0e239ac006fde890,.accdb,DEC Meacham Lake.accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Meacham Lake.accdb
ecbc4ce8c54d4951f56eceaaf6ff1664,.accdb,DEC Nuttenhook (8-14).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Nuttenhook (8-14).accdb
8df6ed56fedb5c16a368a79d3e66525a,.accdb,DEC Oriskany Flats Timber Harvest (9-2017).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Oriskany Flats Timber Harvest (9-2017).accdb
e1102f8062233e75725ff3917c6f82b4,.accdb,DEC Otisco Lake Boat Launch (5-2018).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Otisco Lake Boat Launch (5-2018).accdb
b27b36249dab697366a21def612b5f4b,.accdb,DEC Perch River WMA (11-2017).accdb,X:\CRSP Databases\DEC Projects,X:\CRSP Databases\DEC Projects\DEC Perch River WMA (11-2017).accdb
